"","CiA","CiB","CiC","CiD","CiE","CiF","HmA","HmB","HmC","HmD","HmE","HmF","MsA","MsB","MsC","MsD","MsE","MsF","PfA","PfB","PfC","PfD","PfE","PfF","ScA","ScB","ScC","ScD","ScE","ScF"
"g_Sellaphora",0,0,0,0,0,0,8.98692810457516e-05,7.48497391486591e-06,6.89281670031018e-05,0.000142495814185458,4.34388354048228e-05,2.47298266439152e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Seminavis",0.0028006589785832,0.00121820136151917,0.000582750582750583,0.00212040893600909,0.0030301986846183,0.00149597955494608,0.00112745098039216,0.00135478027859073,0.00138841022106248,0.00129671190908767,0.00122714710018624,0.00112932875007213,0.00011877895236964,0.00180695678361693,0.000206270627062706,0.000558653742490028,0,0.000106917566556185,0,0,0,0.00025379100310894,0,0.000512645249487355,0.00996932515337423,0.0113096213735453,0.00756143667296786,0.00764006791171477,0.00335908632851864,0.0128126906650397
"g_Septoria",0,0,0,0.000151457781143506,0.000309906683654144,0,6.5359477124183e-05,9.73046608932568e-05,0.000137856334006204,0.000106871860639094,0.000146606069491277,0.000123649133219576,0,0,0,0.000147014142760534,0,0,0,0.000247325789896742,0.00698128246708628,0,0,0.000170881749829118,0,0.000655630224553352,0,0,0,0.00061012812690665
"g_Serendipita",0.000329489291598023,0.000573271228950197,0.00233100233100233,7.57288905717531e-05,0.000791983747116146,0.000249329925824347,0.000915032679738562,0.00105538132199609,0.000974841219043868,0.0011043425599373,0.00123257695461185,0.00104689599459241,6.59883068720223e-05,7.52898659840386e-05,0,0.00017641697131264,0,0,0,0,5.49707280872935e-05,0.000296089503627096,0,0,0.000255623721881391,0,0.000945179584120983,0,0,0
"g_Serpula",0,0,0,0,0,0,0.000106209150326797,0.000112274608722989,0.000167396977007533,0.000163870186313277,8.14478163840427e-05,9.06760310276892e-05,3.95929841232134e-05,0,0,0,0,0,0,0,0,0,1.52244077705377e-05,0,0,0,0,0,0,0
"g_Serratifera",0,0,0,0,0,0,0,0,0,0,0,8.24327554797174e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Setomelanomma",0,0,0,0,0,6.23324814560868e-05,1.63398692810458e-05,0,1.96937620008862e-05,0,0,0,1.31976613744045e-05,0,0,0,0,0,2.41505059530997e-05,0,2.74853640436468e-05,0,7.61220388526886e-05,0.000170881749829118,0,0,0,0,0,0
"g_Sheathia",0,0,0,0,0,0,8.16993464052288e-06,7.48497391486591e-06,0,0,1.62895632768085e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Siderocystopsis",0,0,0,0,0,0,0,0,9.84688100044311e-06,7.12479070927291e-06,5.42985442560285e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Silvetia",0,0,0,0,0,0,8.16993464052288e-06,0,1.96937620008862e-05,0,5.42985442560285e-06,0,0,0,0,0,0,0,0,0,0,0,0,0.000170881749829118,0,0,0,0,0,0
"g_Simondia",0,0,0,0,0,0,1.63398692810458e-05,7.48497391486591e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Sistotremastrum",0,0,0,0.000151457781143506,0,0,0.000204248366013072,0.0003293388522541,0.000334793954015066,0.000256492465533825,0.000255203158003334,0.000387433950754672,0,0,0,9.80094285070224e-06,0,0,0,0,0,0,0,0,0.000766871165644172,0,0,0,0,0
"g_Skeletonema",0,0,0,0,0,0,0.00172385620915033,0.00148202483514345,0.00201861060509084,0.00232980656193224,0.00220995075122036,0.00143432994534708,0,0,0,2.94028285521067e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
