"","CiA","CiB","CiC","CiD","CiE","CiF","HmA","HmB","HmC","HmD","HmE","HmF","MsA","MsB","MsC","MsD","MsE","MsF","PfA","PfB","PfC","PfD","PfE","PfF","ScA","ScB","ScC","ScD","ScE","ScF"
"g_Betapapillomavirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0545454545454545,0,0,0,0,0,0,0,0,0,0
"g_Betaretrovirus",0,0,0,0,0,0,0.016260162601626,0.0207351555136664,0.0290556900726392,0.021105527638191,0.0192483959670028,0.0173160173160173,0.0169491525423729,0,0,0,0,0,0,0,0,0.00611153552330023,0,0.00854700854700855,0,0,0,0,0,0
"g_Bracoviriform",0,0,0,0,0,0,0,0,0,0,0,0.00216450216450216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Cafeteriavirus",0.00123203285420945,0.0003785369546702,0.00917431192660551,0.00111794298490777,0.004004004004004,0.00241984271022384,0.0150987224157956,0.00848256361922714,0.0108958837772397,0.0100502512562814,0.00641613198900092,0.0227272727272727,0,0,0,0,0,0.0112359550561798,0,0,0,0,0,0,0,0,0,0.00186915887850467,0,0
"g_Canhaevirus",0,0,0.00917431192660551,0,0,0.00423472474289171,0,0,0,0,0,0,0,0,0,0,0,0,0.0427350427350427,0.0727272727272727,0.1,0,0.00279329608938547,0.0170940170940171,0,0,0,0,0.00561797752808989,0
"g_Capripoxvirus",0.000410677618069815,9.46342386675499e-05,0.00458715596330275,0.000558971492453885,0,0,0,0.000942507068803016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Carjivirus",0,0,0,0,0,0.000604960677555959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Catovirus",0.00410677618069815,0.0001892684773351,0.00458715596330275,0.00111794298490777,0.0035035035035035,0.00302480338777979,0.0150987224157956,0.0235626767200754,0.0399515738498789,0.0201005025125628,0.0293308890925756,0.0443722943722944,0.00282485875706215,0.00448430493273543,0,0,0,0.0112359550561798,0,0,0,0,0,0,0,0,0,0.00560747663551402,0.0168539325842697,0.0029940119760479
"g_Cavemovirus",0,0,0,0,0,0,0,0,0.00242130750605327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Centapoxvirus",0,0,0,0,0,0,0,0.00282752120640905,0.0036319612590799,0,0.00916590284142988,0,0,0,0,0,0,0,0,0,0,0.00190985485103132,0,0,0,0,0,0,0,0
"g_Cervidpoxvirus",0,0,0,0,0.0005005005005005,0,0.00696864111498258,0.0113100848256362,0.013317191283293,0.014070351758794,0.0174152153987168,0.00541125541125541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Chaphamaparvovirus",0,0.000946342386675499,0,0.000558971492453885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Chapparvovirus",0,0.0166556260054888,0,0.00670765790944662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Chloriridovirus",0.0217659137577002,0.00104097662534305,0.0137614678899083,0.00670765790944662,0.016016016016016,0.0175438596491228,0.0174216027874564,0.0131950989632422,0.00484261501210654,0.0120603015075377,0.0183318056828598,0.0216450216450216,0,0,0.136363636363636,0.0309278350515464,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Chlorovirus",0.28911704312115,0.00539415160405035,0.169724770642202,0.197875908328675,0.27027027027027,0.252873563218391,0.0336817653890825,0.0329877474081056,0.036319612590799,0.0351758793969849,0.0366636113657195,0.053030303030303,0.330508474576271,0.0224215246636771,0.348484848484849,0.0670103092783505,0.5,0.235955056179775,0.247863247863248,0.0909090909090909,0,0.0126050420168067,0.164804469273743,0.00854700854700855,0.00145137880986938,0.0147058823529412,0.0163934426229508,0.00186915887850467,0.0168539325842697,0.0149700598802395
"g_Circovirus",0.071047227926078,0.912747231948519,0.270642201834862,0.496925656791504,0.270770770770771,0.359951603145795,0,0,0.00242130750605327,0,0,0,0.0310734463276836,0.328849028400598,0,0.0412371134020619,0,0.0898876404494382,0,0,0,0.00687547746371276,0.0698324022346369,0.239316239316239,0.399129172714078,0.606209150326797,0.549180327868853,0.485981308411215,0.325842696629214,0.508982035928144
"g_Coccolithovirus",0,0,0,0,0,0.000604960677555959,0,0,0,0,0,0.00108225108225108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Cohcovirus",0.00123203285420945,0,0,0,0,0.00181488203266788,0,0.00377002827521206,0.00121065375302663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Culoivirus",0,0.00047317119333775,0,0.00223588596981554,0,0.00423472474289171,0.00348432055749129,0.00188501413760603,0,0,0,0.00216450216450216,0,0.00149476831091181,0,0,0,0,0,0,0,0,0,0,0,0.00163398692810458,0,0,0,0
"g_Curiovirus",0,0,0,0,0,0,0,0,0,0,0,0,0.00847457627118644,0,0,0,0,0,0,0,0,0.00229182582123759,0,0,0,0,0,0,0,0
"g_Cyclovirus",0,0,0,0.00670765790944662,0.001001001001001,0,0,0,0,0,0,0,0,0.0523168908819133,0,0,0,0,0,0,0,0,0,0,0.0159651669085631,0.00163398692810458,0,0.00747663551401869,0,0
"g_Cyprinivirus",0,9.46342386675499e-05,0,0.00111794298490777,0,0.00120992135511192,0,0.00188501413760603,0.0036319612590799,0.00201005025125628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Cytomegalovirus",0,0,0,0,0,0,0,0,0,0,0,0,0.00282485875706215,0,0,0,0,0,0,0,0,0.0653170359052712,0,0,0,0,0.00819672131147541,0,0,0
"g_Delmidovirus",0,0,0,0,0,0,0.00232288037166086,0,0,0.00201005025125628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Dependoparvovirus",0,0.00028390271600265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Diorhovirus",0,0,0,0,0,0,0,0,0.00121065375302663,0.0050251256281407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Drivevirus",0,0,0,0,0,0,0,0,0.00242130750605327,0.00301507537688442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Endlipuvirus",0,0,0,0,0,0,0,0,0,0,0.000916590284142988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Gammaretrovirus",0.00164271047227926,0,0,0,0.0005005005005005,0,0.0150987224157956,0.0103675777568332,0.0145278450363196,0.0130653266331658,0.0155820348304308,0.00757575757575758,0.0536723163841808,0,0,0,0.0454545454545455,0,0.0854700854700855,0.472727272727273,0,0.787242169595111,0,0.376068376068376,0,0,0,0,0.0280898876404494,0
"g_Gemycircularvirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104633781763827,0,0,0,0,0,0,0,0,0,0,0,0.0408496732026144,0,0,0,0
"g_Gemygorvirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212418300653595,0,0,0,0
"g_Gemykibivirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0164424514200299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Gemykroznavirus",0.315400410677618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252577319587629,0,0,0,0,0,0,0,0,0.409288824383164,0,0,0.248598130841122,0.134831460674157,0.140718562874251
"g_Glamdringvirus",0.00616016427104723,0.0339736916816504,0.0137614678899083,0.0134153158188932,0,0.00786448880822747,0,0,0,0,0,0,0,0.506726457399103,0.0757575757575758,0,0,0,0,0,0,0,0,0,0.0391872278664731,0.150326797385621,0.122950819672131,0.145794392523364,0.157303370786517,0.0868263473053892
"g_Hokovirus",0.00698151950718686,0.000567805432005299,0.018348623853211,0.000558971492453885,0.0105105105105105,0.00544464609800363,0.0615563298490128,0.061262959472196,0.0520581113801453,0.0522613065326633,0.0430797433547204,0.0616883116883117,0.00564971751412429,0,0,0.0206185567010309,0,0,0,0,0.1,0.0263559969442322,0.463687150837989,0.205128205128205,0,0.00163398692810458,0.00819672131147541,0,0.00561797752808989,0.00598802395209581
"g_Indivirus",0.00698151950718686,0.000662439670672849,0.00917431192660551,0.0100614868641699,0.017017017017017,0.00786448880822747,0.18815331010453,0.0914231856738926,0.117433414043584,0.0964824120603015,0.0824931255728689,0.127705627705628,0,0.00597907324364723,0.0151515151515152,0.134020618556701,0,0.0337078651685393,0.00854700854700855,0,0.3,0.00114591291061879,0,0,0.00725689404934688,0.00163398692810458,0,0.00373831775700935,0,0.00898203592814371
"g_Iridovirus",0.0135523613963039,0.00160878205734835,0.0275229357798165,0.0117384013415316,0.018018018018018,0.0187537810042347,0.0290360046457607,0.0113100848256362,0.0157384987893462,0.0190954773869347,0.0164986251145738,0.012987012987013,0,0,0.0151515151515152,0,0,0,0,0.0181818181818182,0,0,0,0,0,0.00980392156862745,0,0.00186915887850467,0,0
"g_Jahgtovirus",0.000410677618069815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Junduvirus",0.00082135523613963,0,0.00458715596330275,0,0.0035035035035035,0.00120992135511192,0,0,0,0.00100502512562814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Kahnovirus",0,9.46342386675499e-05,0,0.000558971492453885,0.0025025025025025,0.00241984271022384,0,0,0.00121065375302663,0.00603015075376884,0.00274977085242896,0,0,0,0,0,0,0,0,0,0,0,0,0.0256410256410256,0,0,0,0,0,0
"g_Klosneuvirus",0.00328542094455852,0,0.00458715596330275,0.00447177193963108,0.0105105105105105,0.00302480338777979,0.032520325203252,0.0395852968897267,0.0472154963680387,0.0492462311557789,0.0403299725022915,0.0422077922077922,0,0.00298953662182362,0.0454545454545455,0,0,0,0,0,0,0,0,0.00854700854700855,0.00435413642960813,0.00816993464052288,0,0.0242990654205607,0.00561797752808989,0.0119760479041916
"g_Kolpuevirus",0.00082135523613963,9.46342386675499e-05,0,0,0.0005005005005005,0.00362976406533575,0.00116144018583043,0.00282752120640905,0.00242130750605327,0,0.000916590284142988,0,0,0,0,0,0,0,0,0,0,0,0,0.00854700854700855,0,0,0,0,0,0
