"KEGG_KO","CiA","CiB","CiC","CiD","CiE","CiF","HmA","HmB","HmC","HmD","HmE","HmF","MsA","MsB","MsC","MsD","MsE","MsF","PfA","PfB","PfC","PfD","PfE","PfF","ScA","ScB","ScC","ScD","ScE","ScF","description"
"K00046",6.7e-05,0.000684,1e-05,4.7e-05,4.5e-05,1e-04,5.2e-05,4.2e-05,3.9e-05,4e-05,2.7e-05,4.2e-05,9.5e-05,2.2e-05,3.7e-05,0.00012,0,0.000367,0,5.5e-05,0,3.1e-05,7.8e-05,0.000191,0,6e-06,8e-06,0,0,0,"idnO; gluconate 5-dehydrogenase [EC:1.1.1.69]"
"K00048",0,4e-06,0,3e-06,1e-05,1e-06,0,0,1e-06,0,0,0,0,4e-06,1.5e-05,0,0,0.00024,0.000244,0.000122,4e-05,0.000161,0.000128,0.000504,8e-06,0,0,0,0,0,"fucO; lactaldehyde reductase [EC:1.1.1.77]"
"K00049",1.4e-05,0,0,1e-05,1.9e-05,4e-06,3.7e-05,5.5e-05,3.8e-05,6.3e-05,6.9e-05,5.3e-05,4e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"GRHPR; glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]"
"K00050",8.9e-05,9.3e-05,8.3e-05,5.5e-05,0.000101,3.6e-05,9.4e-05,7.6e-05,7.2e-05,7.2e-05,7.3e-05,8.5e-05,0.000114,1e-06,7e-06,0.000347,0,3.1e-05,0,0,0,3.6e-05,8.1e-05,0,6.7e-05,0,0,4.2e-05,0,0,"ttuD; hydroxypyruvate reductase [EC:1.1.1.81]"
"K00052",0.000267,0.000409,0.000384,0.000225,0.000413,0.000433,0.000619,0.000528,0.000531,0.000487,0.000511,0.000591,0.000547,0.001135,0.000158,0.000337,0.000133,0.000228,6e-06,0.000122,7.6e-05,6.7e-05,8.9e-05,0.000488,5e-05,0.000188,0.000115,0.000109,0.000138,9.8e-05,"leuB, IMDH; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]"
"K00053",0.000256,0.000186,0.000311,0.000174,0.000258,0.000354,0.00059,0.000563,0.00053,0.000437,0.000531,0.000535,0.000696,0.000404,0.000196,0.000576,0.000265,0.000203,5.2e-05,0.000365,5.6e-05,0.000453,0.000436,0.000548,0.00015,4.4e-05,7.7e-05,0.000115,0.000305,0.000106,"ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]"
"K00054",2e-05,0.000118,0.000228,0.000246,0.000125,0.00019,2.7e-05,2.2e-05,3.2e-05,2.8e-05,2e-05,2.9e-05,3.2e-05,0,0,3e-05,0.000663,0.00024,0,0,0,1.4e-05,2.2e-05,0,0,0,0,0,0,0,"mvaA; hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]"
"K00055",2.3e-05,2e-06,1e-05,2.1e-05,1.6e-05,5e-06,1.7e-05,1.1e-05,7e-06,1.4e-05,4e-06,5e-06,7.8e-05,0,0,6.9e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"E1.1.1.90; aryl-alcohol dehydrogenase [EC:1.1.1.90]"
"K00057",0.000229,0.000471,0.000321,0.000402,0.000335,0.00031,0.000465,0.000448,0.000419,0.000379,0.000395,0.000453,0.000608,0.000497,0.000766,0.000461,0.000133,0.000327,0.000129,9.1e-05,5.3e-05,0.000173,0.000199,0.000582,0.000158,0.000172,1e-04,6.1e-05,5.2e-05,0.000155,"gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]"
"K00058",0.000844,0.000813,0.000549,0.000559,0.000818,0.000781,0.001068,0.001016,0.001054,0.000836,0.00092,0.001018,0.000903,0.000731,0.000453,0.000889,0,0.000422,1.3e-05,1.8e-05,2.3e-05,0.000284,0.000238,0.000685,4.2e-05,5.5e-05,8.4e-05,3.6e-05,9.5e-05,7.3e-05,"serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]"
"K00059",0.00078,0.001414,0.001047,0.000721,0.001048,0.000864,0.001275,0.00095,0.001055,0.000918,0.000845,0.000957,0.001026,9e-04,0.000231,0.000917,0.001061,0.000518,0.00061,0.001041,0.000423,0.000989,0.001276,0.000627,0.000183,0.000388,0.000138,7.9e-05,0.000215,0.000122,"fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]"
"K00060",2.8e-05,0.00015,8.3e-05,2.8e-05,9.4e-05,4.9e-05,9.5e-05,7.7e-05,8.2e-05,6.4e-05,6.9e-05,7.1e-05,6.1e-05,5e-06,0,4.2e-05,0,0,0,4e-06,0,2.6e-05,4.2e-05,0,0,0,0,6e-06,9.1e-05,0,"tdh; threonine 3-dehydrogenase [EC:1.1.1.103]"
"K00061",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RDH5; 11-cis-retinol dehydrogenase [EC:1.1.1.315]"
