"KEGG_KO","CiA","CiB","CiC","CiD","CiE","CiF","HmA","HmB","HmC","HmD","HmE","HmF","MsA","MsB","MsC","MsD","MsE","MsF","PfA","PfB","PfC","PfD","PfE","PfF","ScA","ScB","ScC","ScD","ScE","ScF","description"
"K12297",3.7e-05,1.1e-05,3.1e-05,4.1e-05,3.9e-05,1.2e-05,7.3e-05,5.5e-05,5.9e-05,4.5e-05,6.7e-05,5.2e-05,6e-06,0,2e-06,4.3e-05,0,0,0,2e-06,0,1.7e-05,3.9e-05,0,0,0,0,0,0,0,"rlmL, rlmK; 23S rRNA (guanine2445-N2)-methyltransferase / 23S rRNA (guanine2069-N7)-methyltransferase [EC:2.1.1.173 2.1.1.264]"
"K12298",0,0,0,0,0,0,9e-06,2e-05,2e-05,2.2e-05,2.1e-05,1.8e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CEL; bile salt-stimulated lipase [EC:3.1.1.3 3.1.1.13]"
"K12301",0,0,0,0,0,0,7.1e-05,8.5e-05,8.3e-05,0.000138,0.000132,0.000106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SLC17A5; MFS transporter, ACS family, solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 5"
"K12302",0,0,0,0,0,0,3.6e-05,4.7e-05,4.4e-05,6.7e-05,4.9e-05,3.3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SLC17A6_7_8; MFS transporter, ACS family, solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 6/7/8"
"K12303",0,0,0,0,1e-06,0,1.6e-05,1.2e-05,1.8e-05,2.6e-05,1.1e-05,7e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SLC17A9; MFS transporter, ACS family, solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 9"
"K12304",0,0,0,8e-06,0,2e-05,2e-05,3.4e-05,3.3e-05,5.3e-05,4.5e-05,3.6e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CANT1; soluble calcium-activated nucleotidase 1 [EC:3.6.1.6]"
"K12305",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000117,0,0,0,0,0,"-"
"K12306",0,0,0,0,0,0,2.7e-05,5.4e-05,3.3e-05,6.4e-05,6e-05,3.9e-05,0,0,0,3.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MSFD7, SLC49A4; MFS transporter, FLVCR family, MFS-domain-containing protein 7"
"K12307",0,0,0,0,0,0,6.6e-05,7.7e-05,7.5e-05,0.000125,0.000124,6.4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MSFD8, CLN7; MFS transporter, ceroid-lipofuscinosis neuronal protein 7"
"K12308",0.000128,0.000234,0.000238,0.000257,0.000233,8e-05,0.000424,0.000593,0.000377,0.000459,0.000554,0.000625,5e-04,0.00134,0.000365,0.00025,0.000796,3.4e-05,0.000216,0.002335,0.000271,0.001408,0.001461,0.001531,4.2e-05,7.2e-05,8e-06,6.1e-05,3.8e-05,1.6e-05,"bgaB, lacA; beta-galactosidase [EC:3.2.1.23]"
"K12309",0,0,0,0,0,0,3.5e-05,3.6e-05,3.6e-05,0.000108,7.5e-05,5.1e-05,0,0,0,1e-06,0,0,0,0,0,0,0,5e-06,0,0,0,0,0,0,"GLB1, ELNR1; beta-galactosidase [EC:3.2.1.23]"
"K12311",0,3.6e-05,0,0,4e-06,0,0.000132,0.000182,0.000175,0.000264,0.000233,0.000168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MAN2B1, LAMAN; lysosomal alpha-mannosidase [EC:3.2.1.24]"
"K12312",0,0,0,0,0,0,3e-06,0,0,3e-06,0,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K12314",0,0,0,0,0,0,1.3e-05,1.5e-05,9e-06,2.8e-05,1.7e-05,9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACTC1; actin, alpha cardiac muscle"
"K12315",0,0,0,0,0,0,2e-06,5e-06,7e-06,9e-06,1.2e-05,4e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K12316",0,0,0,0,1e-06,0,4.6e-05,6.3e-05,5.3e-05,9.3e-05,8.7e-05,6.2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"GAA; lysosomal alpha-glucosidase [EC:3.2.1.20]"
"K12317",0,0,0,0,0,0,4e-06,5e-06,7e-06,1.3e-05,1e-05,4e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K12318",0,0,0,0,0,0,4e-05,3.6e-05,5.4e-05,7.5e-05,4.9e-05,4.1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"GUCY1A; guanylate cyclase soluble subunit alpha [EC:4.6.1.2]"
"K12319",0,4e-06,0,0,0,0,3.5e-05,4.3e-05,3.3e-05,6.5e-05,5e-05,2.9e-05,8.4e-05,0,0,3e-05,0,9e-06,0,0,0,0,0,0,0,0,0,0,0,0,"GUCY1B; guanylate cyclase soluble subunit beta [EC:4.6.1.2]"
"K12322",0,0,0,0,0,0,8e-06,1.6e-05,1.6e-05,2.1e-05,1.9e-05,2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"GUCY2F; guanylate cyclase 2F [EC:4.6.1.2]"
"K12323",0,0,0,0,0,0,1.3e-05,3.6e-05,4.2e-05,4.4e-05,3.5e-05,3.1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ANPRA, NPR1; atrial natriuretic peptide receptor A [EC:4.6.1.2]"
"K12324",0,0,0,0,0,0,0,0,1e-06,2e-06,1e-06,2e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K12325",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K12326",0,0,0,0,0,0,2e-06,8e-06,1e-06,6e-06,4e-06,3e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RASGRF2; Ras-specific guanine nucleotide-releasing factor 2"
"K12327",0,0,0,2e-06,0,0,0,0,0,0,0,0,5e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CALD1; caldesmon"
"K12329",0,0,0,0,0,0,2.1e-05,1.6e-05,2.1e-05,4.8e-05,3.7e-05,1.6e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PPP1R12B, MYPT2; protein phosphatase 1 regulatory subunit 12B"
"K12330",0,0,0,0,0,0,0,1e-06,0,1e-06,4e-06,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K12331",0,0,0,0,0,0,5e-06,8e-06,4e-06,1.1e-05,3e-06,5e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K12339",5e-05,5.5e-05,2.1e-05,1.8e-05,4.6e-05,5.4e-05,0.000195,0.000124,0.000164,0.00015,0.000117,0.000113,9.1e-05,1.3e-05,0,9.6e-05,0,4.9e-05,0,0,0,1.2e-05,5e-06,0,7.5e-05,6e-06,8e-06,2.4e-05,1.4e-05,8e-06,"cysM; cysteine synthase B [EC:2.5.1.47]"
"K12340",0.000109,5.1e-05,0.000114,0.000117,0.000177,9.5e-05,0.00012,9.8e-05,0.00011,8.4e-05,7.8e-05,9.3e-05,5.8e-05,2e-06,0,0.00049,0,4.9e-05,0,5.5e-05,0.000139,1.2e-05,1.1e-05,0,2.5e-05,0,1.5e-05,2.4e-05,0,0,"tolC; outer membrane protein"
"K12343",0,0,0,0,0,0,3e-06,1e-05,6e-06,8e-06,8e-06,3e-06,1.3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SRD5A1; 3-oxo-5-alpha-steroid 4-dehydrogenase 1 [EC:1.3.1.22]"
"K12344",0,0,0,0,0,0,8e-06,9e-06,7e-06,1.1e-05,5e-06,8e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K12345",0,0,0,2e-06,0,7e-06,1e-06,1e-06,0,0,0,0,2.2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SRD5A3; 3-oxo-5-alpha-steroid 4-dehydrogenase 3 [EC:1.3.1.22 1.3.1.94]"
"K12346",0,0,0,0,0,0,0,0,0,0,0,0,0,1.7e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SMF; metal iron transporter"
"K12347",0,0,0,0,2e-06,0,5e-06,8e-06,2.2e-05,2.4e-05,1.2e-05,1.5e-05,6.5e-05,0,0,1.8e-05,0,0,0,0,0,0.000106,0,3e-06,0,0,0,0,0,0,"SLC11A1, NRAMP1; natural resistance-associated macrophage protein 1"
"K12348",0,0,4.1e-05,5e-06,3e-06,5e-06,4.9e-05,3.6e-05,2.8e-05,6.1e-05,5e-05,4.1e-05,1.2e-05,9e-06,0,7.9e-05,0,0,0,0,0,3.6e-05,0,0,0,0,0,6e-06,0,0,"ASAH1; acid ceramidase [EC:3.5.1.23]"
"K12349",9e-06,0,0,3e-06,3e-06,0,8e-06,5e-06,4e-06,4e-06,2e-06,1e-05,0,0,0,1.4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ASAH2; neutral ceramidase [EC:3.5.1.23]"
"K12350",0,0,0,0,0,0,3.7e-05,8.6e-05,7.7e-05,0.000126,8.9e-05,6.9e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SMPD1, ASM; sphingomyelin phosphodiesterase [EC:3.1.4.12]"
"K12351",0,0,0,0,0,0,2e-06,5e-06,5e-06,1.1e-05,1.5e-05,1.6e-05,0.00097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SMPD2; sphingomyelin phosphodiesterase 2 [EC:3.1.4.12]"
"K12352",0,0,0,0,0,0,1.3e-05,1.4e-05,1.4e-05,3.7e-05,1.2e-05,8e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K12353",0,0,0,0,0,0,2.7e-05,3e-05,3.2e-05,3.6e-05,2.9e-05,2.1e-05,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,"SMPD4; sphingomyelin phosphodiesterase 4 [EC:3.1.4.12]"
"K12354",1e-06,0,0,1.3e-05,1e-06,1.1e-05,4.1e-05,4.3e-05,4.2e-05,7.5e-05,5.3e-05,5e-05,0.000233,2e-06,0,4.4e-05,0,9e-06,0,0,0,0,0,0,0,1.7e-05,1.5e-05,0,0,0,"ENPP7; ectonucleotide pyrophosphatase/phosphodiesterase family member 7 [EC:3.1.4.12]"
"K12355",0,0,0,0,0,0,2e-06,0,2e-06,4e-06,3e-06,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REF1; coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]"
"K12357",0,0,0,0,0,1e-06,0,0,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NEU2_3_4; sialidase-2/3/4 [EC:3.2.1.18]"
"K12359",0,0,0,0,0,0,1e-05,9e-06,1.7e-05,2.1e-05,2.2e-05,2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K12360",0,0,0,0,0,0,2.1e-05,1.8e-05,1.9e-05,2.9e-05,3.4e-05,2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K12362",0,0,0,7e-06,2.1e-05,0,3e-05,4.7e-05,4.6e-05,6.2e-05,5.5e-05,3.6e-05,0,0,0,0,0,0,0,0,0,5.5e-05,0,1e-06,0,0,0,0,0,0,"-"
"K12363",0,0,0,0,0,0,8e-06,1.3e-05,5e-06,1e-05,4e-06,9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K12364",0,0,0,0,0,0,1e-06,2e-06,1e-06,1e-06,2e-06,4e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K12365",1e-06,0,0,0,0,0,0,0,0,0,0,0,1e-06,0,0,0,0,0,0,0,0,1.4e-05,0,0,0,0,0,0,0,0,"-"
"K12366",0,0,0,0,0,0,0,0,0,0,0,0,5e-06,0,0,0,0,0,0,0,0,1.9e-05,0,0,0,0,0,0,0,0,"ELMO1, CED12; engulfment and cell motility protein 1"
"K12367",0,0,0,0,0,0,3.1e-05,3.6e-05,3e-05,4.7e-05,3.6e-05,3.1e-05,0,0,0,0,0,0,0,0,0,8.9e-05,0,1e-06,0,0,0,0,0,0,"-"
"K12368",2.8e-05,0,2.1e-05,2.9e-05,1.1e-05,5e-06,2.3e-05,2e-05,2e-05,2.1e-05,2.4e-05,1.9e-05,0,0,4e-06,0,0,0,0,0,0,5.5e-05,8.9e-05,3e-06,0,0,0,0,0,0,"dppA; dipeptide transport system substrate-binding protein"
"K12369",3e-06,0,0,8e-06,2.2e-05,1.9e-05,6e-06,6e-06,1.1e-05,8e-06,8e-06,1e-05,3e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"dppB; dipeptide transport system permease protein"
"K12370",3e-06,0,0,5e-06,1.5e-05,1.3e-05,1e-05,9e-06,1.5e-05,7e-06,8e-06,8e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"dppC; dipeptide transport system permease protein"
"K12371",6e-06,0,3.1e-05,0,1e-05,1.2e-05,1.1e-05,8e-06,1.2e-05,1.2e-05,1.1e-05,6e-06,0,0,2e-06,0,0,9e-06,0,0,0,0,0,0,8e-06,0,1.5e-05,0,5e-06,0,"dppD; dipeptide transport system ATP-binding protein"
"K12372",1e-06,0,1e-05,1.3e-05,1.3e-05,1e-06,3e-06,6e-06,7e-06,3e-06,4e-06,5e-06,0,2.8e-05,2.2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"dppF; dipeptide transport system ATP-binding protein"
"K12373",0.000249,9.5e-05,6.2e-05,0.00013,0.000203,0.000158,0.000458,0.000808,0.000478,0.000579,0.000715,0.000886,4.7e-05,0.000634,0.000233,0.000152,0,0.000761,2.4e-05,0.000363,0.002385,0.000294,0.000391,0.001794,0,5e-05,2.3e-05,3e-05,8.1e-05,0.00022,"HEXA_B; hexosaminidase [EC:3.2.1.52]"
"K12374",0,0,0,0,2e-06,1.5e-05,1e-06,2e-06,2e-06,1e-06,2e-06,6e-06,0,0,0,0,0,0,0,0,0,0,0,1.5e-05,0,0,0,0,0,0,"-"
"K12375",9.5e-05,0,0,0,1.2e-05,1e-06,2e-06,1e-06,1e-06,1e-06,0,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K12378",0,0,0,0,0,0,1e-06,2e-06,1e-06,3e-06,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TOR; tyrosine-protein kinase receptor torso [EC:2.7.10.1]"
"K12382",1e-05,0,0,2e-06,2.3e-05,0,3.8e-05,5e-05,5.9e-05,8.3e-05,7.9e-05,6.5e-05,1.7e-05,0,0,5e-06,0,0,0,0,0,0.00014,0,2e-06,0,0,0,0,0,0,"PSAP, SGP1; saposin"
"K12383",0,0,0,0,0,0,7e-05,0.000116,0.000116,0.000169,0.00013,9.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"GM2A; ganglioside GM2 activator"
"K12384",0,0,0,0,0,0,2.8e-05,3.2e-05,5.3e-05,5e-05,4.4e-05,2.9e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6e-06,0,0,"-"
"K12385",8.4e-05,1.5e-05,2.1e-05,0,1e-06,1e-06,0.000127,0.00016,0.000171,0.000282,0.000243,0.000174,0.000277,0,0,1.3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NPC1; Niemann-Pick C1 protein"
"K12386",0,0,0,0,4.4e-05,0,1e-06,0,0,0,1e-06,1e-06,0,0,0,0,0,0,0,0,0,2.4e-05,1.9e-05,0,0,3.9e-05,0,0,0,0,"CTNS; cystinosin"
"K12387",1e-06,0,0,0,0,0,1e-05,3e-06,5e-06,1.6e-05,1e-05,1e-05,1e-05,0,0,0,0,0,0,0,0,3.9e-05,0,0,0,0,0,0,0,0,"LAPTM; lysosomal-associated transmembrane protein"
"K12388",0,0,0,0,0,0,1.9e-05,1.2e-05,1.5e-05,2.9e-05,2.7e-05,1.4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K12389",0,0,0,0,0,0,3.3e-05,5.6e-05,4e-05,9.9e-05,6.8e-05,4.5e-05,0,0,0,2.2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BTS, CLN3; battenin"
"K12390",0,0,0,0,0,0,1.2e-05,1.9e-05,2.2e-05,1.7e-05,2.7e-05,2.1e-05,0,0,0,0,0,0,0,0,0,2.2e-05,0,0,0,0,0,0,0,0,"-"
"K12391",0,0,0,0,1e-06,0,3.7e-05,5e-05,5.9e-05,6.6e-05,5.8e-05,4.4e-05,0,0,0,0,0,0,0,0,0.000132,1.4e-05,0,9e-06,0,0,0,0,0,0,"AP1G1; AP-1 complex subunit gamma-1"
"K12392",0,0,0,0,0,0,5.5e-05,6.9e-05,5.9e-05,0.000104,0.00011,6.5e-05,0,0,0,7e-06,0,6e-06,0,0,0,0,0,0,0,0,0,0,0,0,"AP1B1; AP-1 complex subunit beta-1"
"K12393",0,0,0,0,0,3e-06,2.6e-05,2.6e-05,4.6e-05,5e-05,3.6e-05,3.3e-05,0,0,0,6e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AP1M; AP-1 complex subunit mu"
"K12394",3e-06,0,0,0,0,0,1.5e-05,3.3e-05,1.9e-05,5.6e-05,3e-05,2.2e-05,0,0,0,0,0,0,0,0,0,7.2e-05,0,0,0,0,0,0,0,0,"AP1S1_2; AP-1 complex subunit sigma 1/2"
"K12395",0,0,0,0,0,0,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K12396",0.000114,0,0,0,6e-06,0,5.1e-05,6.6e-05,8.1e-05,0.000105,0.000102,7.9e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AP3D; AP-3 complex subunit delta"
"K12397",0,0,0,0,0,0,5.3e-05,7.5e-05,7.9e-05,0.000109,1e-04,5.4e-05,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AP3B; AP-3 complex subunit beta"
"K12398",0,0,0,0,0,0,2e-05,3.4e-05,2e-05,4e-05,3e-05,2.5e-05,1e-06,0,0,0,0,0,0,0,0,1.4e-05,0,0,0,0,0,0,0,0,"AP3M; AP-3 complex subunit mu"
"K12399",0,0,1e-05,0,0,0,8e-06,2.7e-05,1.7e-05,2.8e-05,3e-05,2.2e-05,1e-06,0,0,4.9e-05,0,0,2e-06,0,0,4.3e-05,0,0,0,1.1e-05,0,6e-06,1.4e-05,0,"AP3S; AP-3 complex subunit sigma"
"K12400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AP4E1; AP-4 complex subunit epsilon-1"
"K12402",0,0,1e-05,0,0,0,2e-06,2e-06,0,0,0,0,8.7e-05,1.2e-05,0,4.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AP4M1; AP-4 complex subunit mu-1"
"K12403",5.3e-05,2e-06,0,5e-06,0,0,1e-06,0,0,0,0,0,3e-06,0,0,3e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AP4S1; AP-4 complex subunit sigma-1"
"K12404",0,0,0,0,0,0,2.5e-05,5e-05,4.9e-05,5.1e-05,5e-05,3.2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"GGA; ADP-ribosylation factor-binding protein GGA"
"K12405",1.1e-05,0,0,0,0,0,3e-05,5e-05,4e-05,6.2e-05,4.9e-05,2.7e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"HSD17B4; 3-hydroxyacyl-CoA dehydrogenase / 3a,7a,12a-trihydroxy-5b-cholest-24-enoyl-CoA hydratase / enoyl-CoA hydratase 2 [EC:1.1.1.35 4.2.1.107 4.2.1.119]"
"K12406",0,0,0,0,0,0,0,0,1e-06,0,0,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K12409",0,0,0,0,0,0,1e-06,0,2e-06,1e-06,0,1e-06,0,0,0,0,0,0,0,0,0,3.6e-05,4.2e-05,0,0,0,0,0,0,0,"GNE; bifunctional UDP-N-acetylglucosamine 2-epimerase / N-acetylmannosamine kinase [EC:3.2.1.183 2.7.1.60]"
"K12410",9.9e-05,0.000125,0.000114,0.000109,0.000178,0.000154,0.000263,0.000178,0.000262,0.000163,0.000202,0.000164,0.000486,0.000144,7.7e-05,9.1e-05,0.000265,9.6e-05,0.000175,0.000183,0.000397,0.000238,0.000264,0.000272,3.3e-05,0.000648,0.001157,0.003977,0.000186,6.5e-05,"npdA; NAD-dependent deacetylase [EC:3.5.1.-]"
"K12418",3.1e-05,4.6e-05,3.1e-05,1.1e-05,2.9e-05,3e-06,8.3e-05,2.9e-05,2e-05,0.000196,7.5e-05,0.000131,0,0,0,1.7e-05,0,1.2e-05,0,0,0,0,0,0,1.7e-05,0,0,0,0,0,"DES4, des1; acyl-lipid (7-3)-desaturase (Delta-4 desaturase) [EC:1.14.19.31]"
"K12420",4e-06,0,0,2e-06,5e-06,0,4e-06,3e-06,6e-06,1e-06,4e-06,3e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"actIII, oxyJ, snoaD, aknA; ketoreductase [EC:1.1.1.-]"
"K12421",0,0,0,2.4e-05,7e-06,0,3e-06,9e-06,5e-06,6e-06,1e-05,1.6e-05,0,0,0,0,0,0,0,0,0,0,0,0,8e-06,0,0,0,5e-06,0,"fadD9; fatty acid CoA ligase FadD9"
"K12422",0,0,0,0,0,0,0,0,0,0,0,0,0.000124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fadD10; long chain fatty acid CoA ligase FadD10 [EC:6.2.1.-]"
"K12423",3e-06,2.1e-05,0,1.1e-05,3e-06,1.9e-05,5.3e-05,2.8e-05,3.5e-05,3.8e-05,2.7e-05,3.5e-05,2.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fadD21; fatty acid CoA ligase FadD21"
"K12424",0,0,0,0,0,0,0,2e-06,1e-06,1e-06,0,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fadD22; 4-hydroxybenzoate adenylyltransferase [EC:6.2.1.50]"
"K12426",0,2e-06,0,0,7e-06,1.1e-05,8.2e-05,7.4e-05,6.5e-05,9.9e-05,4.3e-05,7.2e-05,1.2e-05,0,0,2.8e-05,0,1.2e-05,0,0,0,0,0,0,0,0,0,0,0,0,"fadD26; long chain fatty acid CoA FadD26"
"K12427",0,0,0,0,0,0,1e-06,0,0,0,1e-06,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fadD28; long-chain fatty acid adenylyltransferase FadD28 [EC:6.2.1.49]"
"K12428",3e-06,5.1e-05,1e-05,8e-06,7e-06,1.3e-05,9.2e-05,5.4e-05,5.3e-05,5.9e-05,3.8e-05,4.9e-05,3.5e-05,4e-06,0,8e-05,0,3e-06,4.1e-05,1.6e-05,1.7e-05,1.2e-05,3e-05,1e-06,0,0,0,0,5e-06,0,"fadD32; fatty acid CoA ligase FadD32"
"K12429",0,0,0,0,1e-06,1e-06,5.2e-05,3.8e-05,3.5e-05,2.6e-05,2.7e-05,3.8e-05,1e-06,0,0,1.2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fadD36; fatty acid CoA ligase FadD36"
"K12430",0,0,0,0,1e-06,0,2e-06,0,4e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"pks1_15; 4-hydroxyphenylalkanoate synthase [EC:2.3.1.261]"
"K12431",0,0,0,0,0,0,1e-06,1e-06,1e-06,2e-06,0,2e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"pks2; polyketide synthase 2"
"K12432",1e-06,4e-06,1e-05,8e-06,3.5e-05,5e-06,8.2e-05,4.2e-05,5.3e-05,5e-05,3e-05,5.2e-05,0,0,0,0.000261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"pks3_4; mycolipanoate synthase [EC:2.3.1.252]"
"K12433",1.1e-05,4.2e-05,0,1.1e-05,5e-06,2.1e-05,0.000197,0.000113,0.000124,0.000146,6.1e-05,0.000112,5.1e-05,2e-06,0,0.000256,0,6e-06,0,0,0,0,0,0,8e-06,0,8e-06,1.2e-05,5e-06,0,"pks5; polyketide synthase 5"
"K12436",0,0,0,0,0,0,1e-06,0,2e-06,1e-06,0,0,0,3e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"pks12; polyketide synthase 12"
"K12437",9e-06,7.4e-05,8.3e-05,2e-05,1.1e-05,3.5e-05,0.000294,0.000183,0.000165,0.000225,0.000113,0.000211,8.2e-05,2e-06,0,0.000144,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,8e-06,"pks13; polyketide synthase 13"
"K12440",0,1.5e-05,0,2e-06,0,3e-06,0.000129,0.000113,0.000102,9.2e-05,8.7e-05,0.000135,7.5e-05,0,0,8e-06,0,4e-05,0,0,0,0,0,0,0,0,0,1.8e-05,0,0,"ppsA; phthiocerol/phenolphthiocerol synthesis type-I polyketide synthase A"
"K12441",0,3.2e-05,3.1e-05,8e-06,1e-05,2.7e-05,0.000254,0.000137,0.000163,0.000168,8.7e-05,0.000152,0.000281,0,0,5.1e-05,0,1.8e-05,0,0,0,0,0,0,0,0,0,0,0,0,"ppsB; phthiocerol/phenolphthiocerol synthesis type-I polyketide synthase B"
"K12442",0,0,2.1e-05,0,0,1e-06,3e-05,3.5e-05,2.2e-05,3.1e-05,3e-05,3.2e-05,1.7e-05,0,0,0,0,1.8e-05,0,0,0,0,0,0,0,0,8e-06,6e-06,0,0,"ppsC; phthiocerol/phenolphthiocerol synthesis type-I polyketide synthase C"
"K12443",0,2e-06,0,0,0,5e-06,0.000108,8.5e-05,6.9e-05,6.7e-05,6.7e-05,0.000101,4e-06,0,0,1.2e-05,0,0,3.9e-05,4e-06,3e-06,7e-06,8e-06,0,0,0,0,0,0,8e-06,"ppsD; phthiocerol/phenolphthiocerol synthesis type-I polyketide synthase D"
"K12444",0,1.3e-05,0,5e-06,9e-06,1.9e-05,0.000209,0.000124,0.000121,0.000151,9.3e-05,0.000142,1.2e-05,1e-06,0,6.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ppsE; phthiocerol/phenolphthiocerol synthesis type-I polyketide synthase E"
"K12446",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e-06,0,0,0,0,0,5e-06,1.7e-05,0,0,0,0,0,0,0,"E2.7.1.46; L-arabinokinase [EC:2.7.1.46]"
"K12447",2.8e-05,0.000114,3.1e-05,0,3.9e-05,7e-06,1.2e-05,8e-06,4e-06,8e-06,5e-06,6e-06,3.6e-05,6e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9e-05,0,0,"USP; UDP-sugar pyrophosphorylase [EC:2.7.7.64]"
